"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","DutyTypeDescription","Duty Nature","AvMethod","Note"
"024","Angola","000"," World",2023,1012100,"- - Pure-bred breeding animals",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1012900,"- - Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1013000,"- Asses",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1019000,"- Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1022100,"- - Pure-bred breeding animals",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1022900,"- - Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1023100,"- - Pure-bred breeding animals",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1023900,"- - Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1029000,"- Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1031000,"- Pure-bred breeding animals",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1039100,"- - Weighing less than 50 kg",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1039200,"- - Weighing 50 kg or more",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1041012,"Not provided",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1041019,"Not provided",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1042021,"Not provided",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1042029,"Not provided",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1051100,"- - Fowls of the species Gallus domesticus",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1051200,"- - Turkeys",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1051300,"- - Ducks",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1051400,"- - Geese",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1051500,"- - Guinea fowls",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1059400,"- - Fowls of the species Gallus domesticus",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1059900,"- - Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1061100,"- - Primates",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1061200,"- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1061300,"- - Camels and other camelids (Camelidae)",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1061400,"- - Rabbits and hares",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1061900,"- - Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1062000,"- Reptiles (including snakes and turtles)",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1063100,"- - Birds of prey",,0,2,30,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1063200,"- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1063300,"- - Ostriches; emus (Dromaius novaehollandiae)",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1063900,"- - Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1064100,"- - Bees",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1064900,"- - Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,1069000,"- Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2011000,"- Carcasses and half-carcasses",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2012000,"- Other cuts with bone in",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2013000,"- Boneless",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2021000,"- Carcasses and half-carcasses",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2022000,"- Other cuts with bone in",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2023000,"- Boneless",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2031100,"- - Carcasses and half-carcasses",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2031200,"- - Hams, shoulders and cuts thereof, with bone in",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2031900,"- - Other",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2032100,"- - Carcasses and half-carcasses",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2032200,"- - Hams, shoulders and cuts thereof, with bone in",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2032900,"- - Other",,0,2,0,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2041000,"- Carcasses and half-carcasses of lamb, fresh or chilled",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2042100,"- - Carcasses and half-carcasses",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2042200,"- - Other cuts with bone in",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2042300,"- - Boneless",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2043000,"- Carcasses and half-carcasses of lamb, frozen",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2044100,"- - Carcasses and half-carcasses",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2044200,"- - Other cuts with bone in",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2044300,"- - Boneless",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2045000,"- Meat of goats",,0,2,20,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2061000,"- Of bovine animals, fresh or chilled",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2062100,"- - Tongues",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2062200,"- - Livers",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2062900,"- - Other",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2063000,"- Of swine, fresh or chilled",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2064100,"- - Livers",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2064900,"- - Other",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2068000,"- Other, fresh or chilled",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2069000,"- Other, frozen",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2071100,"- - Not cut in pieces, fresh or chilled",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2071200,"- - Not cut in pieces, frozen",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2071300,"- - Cuts and offal, fresh or chilled",,0,2,10,,"MFN applied duty rates","A",,""
"024","Angola","000"," World",2023,2071400,"- - Cuts and offal, frozen",,0,2,0,,"MFN applied duty rates","A",,""
